id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
29012,Tlaxcala,Españita,1374,medio,0.7026,1222,0.7576,29.9197,28.01698,89.31229,89.91516,57.81041,63.69585,2717.554415,5748.66786,0.7686094,0.7849642,0.7881166,0.8117539,0.5511703,0.6762208
20373,Oaxaca,Santa Catarina Zapoquila,1739,medio,0.6703,1223,0.7576,31.93544,20.90473,77.83784,82.78146,62.5,62.96296,2430.23197,5374.339028,0.7512826,0.8460984,0.7272522,0.7617529,0.5325195,0.6649828
07086,Chiapas,Suchiapa,1462,medio,0.6953,1224,0.7576,28.16225,22.36862,75.71545,79.775,58.39528,63.33842,3702.033462,6484.964427,0.7837157,0.8335154,0.6994206,0.7429614,0.6027687,0.6963359
20464,Oaxaca,Santiago Ihuitlán Plumas,1534,medio,0.6890,1225,0.7574,30.65611,20.09396,82.19895,85.66553,59.09091,62.5,2862.013751,4626.787698,0.7622795,0.8530672,0.7449627,0.7794369,0.5598148,0.6399851
31084,Yucatán,Temax,1706,medio,0.6728,1226,0.7574,32.4323,19.41688,77.96809,76.90183,60.09815,61.37667,2719.564965,6480.124948,0.7470118,0.8588874,0.7201144,0.7172678,0.5512938,0.6962112
20381,Oaxaca,Santa Cruz Tacache de Mina,1396,medio,0.7009,1227,0.7574,26.15533,15.50098,79.12458,79.42675,56.93431,67.40506,3322.892398,4241.159949,0.8009661,0.892547,0.7172782,0.7541952,0.5847353,0.6254601
16033,Michoacán,Gabriel Zamora,1175,medio,0.7181,1228,0.7573,27.25635,24.73581,79.51015,81.75671,54.87819,63.10911,4908.792449,6770.618854,0.7915022,0.8131679,0.712995,0.7554084,0.64986,0.7035304
07016,Chiapas,Catazajá,1395,medio,0.7009,1229,0.7572,31.23303,20.03086,80.34959,80.29575,59.86239,67.32657,3876.559182,5168.648055,0.7573205,0.8536098,0.7352052,0.7597269,0.6104572,0.6584694
30015,Veracruz,Angel R. Cabada,1458,medio,0.6958,1230,0.7572,28.84226,22.48296,75.52425,77.95713,58.96755,64.37411,3855.604495,6822.215554,0.7778704,0.8325327,0.7000535,0.7342946,0.6095526,0.7047975
10003,Durango,Coneto de Comonfort,1116,medio,0.7228,1231,0.7571,30.98528,28.59468,93.54192,93.33847,64.28571,64.32492,3064.937032,5055.713103,0.7594498,0.7799987,0.8378985,0.8366728,0.571248,0.6547821
16010,Michoacán,Arteaga,1529,medio,0.6893,1232,0.7570,32.58879,22.8528,77.77861,79.42594,59.93427,65.30766,3727.9186,6417.322388,0.7456669,0.8293537,0.7183049,0.7471985,0.6039317,0.6945858
16113,Michoacán,José Sixto Verduzco,819,medio,0.7473,1233,0.7568,25.60669,20.71337,83.84004,83.94504,55.25433,60.99826,6367.221694,5209.681065,0.8056821,0.847743,0.7431147,0.7629611,0.6932776,0.6597892
11026,Guanajuato,Romita,1254,medio,0.7120,1234,0.7567,31.00628,26.84002,83.68942,85.2707,56.10592,60.29528,4406.282744,6860.85146,0.7592695,0.7950808,0.7449492,0.7694556,0.6318349,0.7057401
20349,Oaxaca,San Sebastián Teitipac,1803,medio,0.6623,1235,0.7566,33.49224,21.39949,82.00772,83.72445,58.16686,69.04458,2106.513177,4620.477205,0.7379009,0.8418455,0.7406077,0.7883116,0.5086601,0.6397573
31036,Yucatán,Homún,1763,medio,0.6664,1236,0.7566,31.21711,20.47464,78.81463,81.34062,55.29716,54.80528,2426.252842,6435.579278,0.7574573,0.8497954,0.7097547,0.7249551,0.532246,0.69506
